seed,source_language,condition,parent_source_nll,final_source_nll,source_cost_nll,final_source_perplexity
90,german,co_trained,3.83473242260516,6.23167623579502,2.39694381318986,508.607315148247
90,german,initial,3.83473242260516,6.60587446484715,2.77114204224199,739.426188787788
90,german,other_language,3.83473242260516,13.4385213274509,9.60378890484571,685923.460899762
90,german,same_language_other_run,3.83473242260516,6.36824869737029,2.53351627476513,583.035862027486
90,spanish,co_trained,3.67655297648162,5.70403582509607,2.02748284861445,300.076014760741
90,spanish,initial,3.67655297648162,6.66732961963862,2.99077664315701,786.29309682044
90,spanish,other_language,3.67655297648162,10.009732386563,6.33317941008136,22241.8824331954
90,spanish,same_language_other_run,3.67655297648162,5.79061548691243,2.11406251043081,327.214358565592
91,german,co_trained,3.83043200196698,6.22349315229803,2.39306115033105,504.462321565526
91,german,initial,3.83043200196698,6.78041016403586,2.94997816206887,880.429770686613
91,german,other_language,3.83043200196698,9.7582628345117,5.92783083254471,17296.5585769868
91,german,same_language_other_run,3.83043200196698,6.27437962591648,2.4439476239495,530.796986900286
91,spanish,co_trained,3.68026686925441,5.69912375509739,2.01885688584298,298.605634632863
91,spanish,initial,3.68026686925441,6.21942888293415,2.53916201367974,502.416211594309
91,spanish,other_language,3.68026686925441,9.89779420103878,6.21752733178437,19886.4564982879
91,spanish,same_language_other_run,3.68026686925441,5.77577390894294,2.09550703968853,322.393841674111
92,german,co_trained,3.82590791583061,6.23649256769568,2.41058465186507,511.062845362601
92,german,initial,3.82590791583061,6.94313214533031,3.1172242294997,1036.01007257024
92,german,other_language,3.82590791583061,11.9372201869264,8.11131227109581,152851.201345719
92,german,same_language_other_run,3.82590791583061,6.37843901943415,2.55253110360354,589.007560324453
92,spanish,co_trained,3.66279254620895,5.68396980687976,2.02117726067081,294.114693991219
92,spanish,initial,3.66279254620895,7.14085092395544,3.47805837774649,1262.50222554444
92,spanish,other_language,3.66279254620895,12.3378791296855,8.67508658347651,228177.503618375
92,spanish,same_language_other_run,3.66279254620895,5.70756769925356,2.04477515304461,301.137719282284
93,german,co_trained,3.82225533202291,6.23285963572562,2.41060430370271,509.209557286063
93,german,initial,3.82225533202291,6.73266648780555,2.91041115578264,839.382487701623
93,german,other_language,3.82225533202291,11.0104151125997,7.18815978057683,60500.9963573425
93,german,same_language_other_run,3.82225533202291,6.40612738952041,2.5838720574975,605.544098067991
93,spanish,co_trained,3.66075659450144,5.69991307705641,2.03915648255497,298.841423661853
93,spanish,initial,3.66075659450144,6.55132605601102,2.89056946150959,700.17202581164
93,spanish,other_language,3.66075659450144,10.1908919615671,6.53013536706567,26659.2633366431
93,spanish,same_language_other_run,3.66075659450144,5.73864894639701,2.07789235189557,310.644430060426
94,german,co_trained,3.83379948278889,6.33992384653538,2.50612436374649,566.753149522236
94,german,initial,3.83379948278889,6.68955303076655,2.85575354797766,803.962825175874
94,german,other_language,3.83379948278889,11.1833626599982,7.34956317720935,71923.8112031074
94,german,same_language_other_run,3.83379948278889,6.47074668761343,2.63694720482454,645.965881655722
94,spanish,co_trained,3.67088722251356,5.64765038900077,1.97676316648722,283.62427559453
94,spanish,initial,3.67088722251356,6.7569383289665,3.08605110645294,860.005108173463
94,spanish,other_language,3.67088722251356,9.01964803831652,5.34876081580296,8263.868004455
94,spanish,same_language_other_run,3.67088722251356,5.75452417321503,2.08363695070148,315.615333559671
95,german,co_trained,3.82942900294438,6.1557898093015,2.32636080635712,471.439042398768
95,german,initial,3.82942900294438,6.9627174558118,3.13328845286742,1056.50065371559
95,german,other_language,3.82942900294438,10.8956561041996,7.06622710125521,53941.5377167846
95,german,same_language_other_run,3.82942900294438,6.27828325144947,2.44885424850509,532.873069058514
95,spanish,co_trained,3.66782391024753,5.70684219896793,2.0390182887204,300.919323013789
95,spanish,initial,3.66782391024753,6.95469648297876,3.28687257273123,1048.0603855061
95,spanish,other_language,3.66782391024753,11.1578254317865,7.49000152153894,70110.3306104764
95,spanish,same_language_other_run,3.66782391024753,5.75327050685883,2.08544659661129,315.219905153919
96,german,co_trained,3.8353694868274,6.21824680827558,2.38287732144818,501.822668997472
96,german,initial,3.8353694868274,6.62092142831534,2.78555194148794,750.636436220114
96,german,other_language,3.8353694868274,10.8122346340679,6.97686514724046,49624.2365787614
96,german,same_language_other_run,3.8353694868274,6.40320948604494,2.56783999921754,603.779754184093
96,spanish,co_trained,3.67346881330013,5.64457171130925,1.97110289800912,282.752430617955
96,spanish,initial,3.67346881330013,6.56597360596061,2.89250479266047,710.503309817572
96,spanish,other_language,3.67346881330013,12.1334432736039,8.45997446030378,185989.08600921
96,spanish,same_language_other_run,3.67346881330013,5.74609928391874,2.07263047061861,312.967478917104
97,german,co_trained,3.82398122549057,6.23490910232067,2.4109278768301,510.254235414402
97,german,initial,3.82398122549057,6.98709245584905,3.16311123035848,1082.56927785686
97,german,other_language,3.82398122549057,10.5601500747725,6.73616884928197,38566.915432453
97,german,same_language_other_run,3.82398122549057,6.33876108191907,2.5147798564285,566.094531996572
97,spanish,co_trained,3.67863915069029,5.69490569923073,2.01626654854044,297.3487520479
97,spanish,initial,3.67863915069029,6.51854572817683,2.83990657748654,677.592265131045
97,spanish,other_language,3.67863915069029,12.6085509518161,8.92991180112585,299105.296269843
97,spanish,same_language_other_run,3.67863915069029,5.80275821499527,2.12411906430498,331.211854682907
98,german,co_trained,3.82915420085192,6.14388687349856,2.31473267264664,465.8607983428
98,german,initial,3.82915420085192,6.85547874681652,3.0263245459646,949.066383169717
98,german,other_language,3.82915420085192,12.0844879569486,8.25533375609666,177103.211414879
98,german,same_language_other_run,3.82915420085192,6.28262430336326,2.45347010251135,535.191326913032
98,spanish,co_trained,3.67622506758198,5.66730650886893,1.99108144128695,289.25438008666
98,spanish,initial,3.67622506758198,6.70347403921187,3.02724897162989,815.233062984163
98,spanish,other_language,3.67622506758198,12.1267694151029,8.45054434752092,184751.953980363
98,spanish,same_language_other_run,3.67622506758198,5.75711730588228,2.08089223830029,316.434828061176
99,german,co_trained,3.8349984404631,6.20903257559985,2.37403413513675,497.219995779021
99,german,initial,3.8349984404631,6.96243984717876,3.12744140671566,1056.20740071997
99,german,other_language,3.8349984404631,10.4624084765092,6.62741003604606,34975.688208988
99,german,same_language_other_run,3.8349984404631,6.33343642205,2.4984379815869,563.088281892355
99,spanish,co_trained,3.67537484690547,5.68379196338356,2.00841711647809,294.062392256654
99,spanish,initial,3.67537484690547,6.36620003264397,2.6908251857385,581.842639696355
99,spanish,other_language,3.67537484690547,9.92206132179126,6.24668647488579,20374.9466925945
99,spanish,same_language_other_run,3.67537484690547,5.80020469240844,2.12482984550297,330.367176642154
100,german,co_trained,3.83040351280943,6.28653940279037,2.45613588998094,537.2907612358
100,german,initial,3.83040351280943,6.84166001901031,3.01125650620088,936.041692739163
100,german,other_language,3.83040351280943,13.2023653741926,9.37196186138317,541644.615386012
100,german,same_language_other_run,3.83040351280943,6.44293305370957,2.61252954090014,628.246781663088
100,spanish,co_trained,3.67522314656526,5.65165300667286,1.9764298601076,284.76179013148
100,spanish,initial,3.67522314656526,7.02795297186822,3.35272982530296,1127.71977172015
100,spanish,other_language,3.67522314656526,11.1606199508533,7.48539680428803,70306.5292789259
100,spanish,same_language_other_run,3.67522314656526,5.71631010994315,2.04108696337789,303.781930447009
101,german,co_trained,3.83412749739364,6.26552859134972,2.43140109395608,526.11961474832
101,german,initial,3.83412749739364,6.87412162311375,3.03999412572011,966.925667304763
101,german,other_language,3.83412749739364,10.5911063672975,6.75697886990383,39779.4754997624
101,german,same_language_other_run,3.83412749739364,6.35863110609353,2.52450360869989,577.455340012292
101,spanish,co_trained,3.66633750172332,5.66107333730906,1.99473583558574,287.457015371775
101,spanish,initial,3.66633750172332,6.77552996668965,3.10919246496633,876.143566923099
101,spanish,other_language,3.66633750172332,10.0748715610243,6.40853405930102,23738.9291806635
101,spanish,same_language_other_run,3.66633750172332,5.68001688085496,2.01367937913164,292.954375201129
