specification,language,contrast_id,outcome,n,estimate,standard_error,ci90_low,ci90_high
target_piece_count_adjusted,spanish,spanish_same_language_other_run_benefit,step_zero,12,0.340793754382234,0.0060855737993803,0.329864764782826,0.351722743981642
target_piece_count_adjusted,german,german_same_language_other_run_benefit,step_zero,12,0.256865116837239,0.003958727338992,0.249755698507756,0.263974535166722
target_piece_count_adjusted,spanish,spanish_same_language_over_other_language,step_zero,12,0.325738652536729,0.0059611651104587,0.31503308661307,0.336444218460388
target_piece_count_adjusted,german,german_same_language_over_other_language,step_zero,12,0.213284991332161,0.0060469018022528,0.202425452185303,0.224144530479019
target_piece_count_adjusted,spanish,spanish_co_trained_minus_same_language_other_run,step_zero,12,0.0356542462487636,0.003525086036885,0.0293235977504976,0.0419848947470297
target_piece_count_adjusted,german,german_co_trained_minus_same_language_other_run,step_zero,12,0.0275783979374451,0.0024392716193896,0.0231977470674885,0.0319590488074018
target_piece_count_adjusted,spanish,spanish_same_language_other_run_benefit,learning_curve_auc,12,0.328082009658187,0.0031018286192633,0.322511482730631,0.333652536585742
target_piece_count_adjusted,german,german_same_language_other_run_benefit,learning_curve_auc,12,0.249564924547652,0.0045845116751798,0.241331669629027,0.257798179466277
target_piece_count_adjusted,spanish,spanish_same_language_over_other_language,learning_curve_auc,12,0.285040143661594,0.0046313231547711,0.27672282071743,0.293357466605759
target_piece_count_adjusted,german,german_same_language_over_other_language,learning_curve_auc,12,0.207819686896414,0.0057744552847664,0.197449430314219,0.218189943478609
target_piece_count_adjusted,spanish,spanish_co_trained_minus_same_language_other_run,learning_curve_auc,12,0.0310767315786365,0.0024747790726609,0.0266323134123992,0.0355211497448737
target_piece_count_adjusted,german,german_co_trained_minus_same_language_other_run,learning_curve_auc,12,0.0273855300143705,0.0016307459890683,0.0244568980494406,0.0303141619793003
