language,english_updates,contrast,n,estimate,sample_sd,ci95_low,ci95_high,negative_count,positive_count
spanish,0,other_language_minus_same_language_spelling_slope,12,-0.822023767314399,0.310000612250215,-1.01898875939135,-0.62505877523745,12,0
spanish,50,other_language_minus_same_language_spelling_slope,12,0.217283117148791,0.0681428715743531,0.173987202142953,0.260579032154629,0,12
spanish,100,other_language_minus_same_language_spelling_slope,12,0.111088346704452,0.0862118037801016,0.0563119798926949,0.16586471351621,1,11
spanish,200,other_language_minus_same_language_spelling_slope,12,0.141441902790822,0.0477801135862728,0.111083866961009,0.171799938620635,0,12
spanish,400,other_language_minus_same_language_spelling_slope,12,0.11986976141837,0.0583399663593328,0.0828023152339067,0.156937207602833,0,12
spanish,800,other_language_minus_same_language_spelling_slope,12,0.0557814034525205,0.0449578423670563,0.0272165532048165,0.0843462537002246,1,11
spanish,1500,other_language_minus_same_language_spelling_slope,12,0.0688115046756439,0.0301591223002017,0.0496493125696738,0.087973696781614,0,12
spanish,3000,other_language_minus_same_language_spelling_slope,12,0.0423647235288859,0.0233781920491344,0.0275109289563305,0.0572185181014416,0,12
spanish,6000,other_language_minus_same_language_spelling_slope,12,0.0356034060087749,0.0100340502310006,0.0292280746508692,0.0419787373666807,0,12
spanish,6100,other_language_minus_same_language_spelling_slope,12,0.0289029434078462,0.0124649685532951,0.020983080235584,0.0368228065801083,0,12
german,0,other_language_minus_same_language_spelling_slope,12,-0.420339064356868,0.170256882249748,-0.528515126397353,-0.312163002316384,12,0
german,50,other_language_minus_same_language_spelling_slope,12,0.169823990264166,0.106890658502633,0.10190890599305,0.237739074535282,0,12
german,100,other_language_minus_same_language_spelling_slope,12,0.19547528558072,0.0405787810971696,0.169692758122854,0.221257813038585,0,12
german,200,other_language_minus_same_language_spelling_slope,12,0.26831706466615,0.0301655589480907,0.249150782909223,0.287483346423077,0,12
german,400,other_language_minus_same_language_spelling_slope,12,0.183448735611669,0.0433367087812919,0.155913904503469,0.210983566719869,0,12
german,800,other_language_minus_same_language_spelling_slope,12,0.0778946248499572,0.0447568916173763,0.0494574526172458,0.106331797082669,1,11
german,1500,other_language_minus_same_language_spelling_slope,12,0.0414274292803435,0.0236219027486668,0.0264187883168275,0.0564360702438595,0,12
german,3000,other_language_minus_same_language_spelling_slope,12,0.0188839860625839,0.0284754569285936,0.0007915438973377,0.0369764282278301,3,9
german,6000,other_language_minus_same_language_spelling_slope,12,0.012921010269693,0.0139150650676785,0.0040797997284915,0.0217622208108945,3,9
german,6100,other_language_minus_same_language_spelling_slope,12,0.0123208686304602,0.0159210450510994,0.002205119214406,0.0224366180465143,3,9
