condition,language,outcome,pair_id,estimate
same_language_same_starting_weights,spanish,step_zero,pair-00,1.308992554436296
same_language_same_starting_weights,spanish,step_zero,pair-01,1.2612703224519979
same_language_same_starting_weights,spanish,step_zero,pair-02,1.1417020954744261
same_language_same_starting_weights,spanish,step_zero,pair-03,1.2216912495571792
same_language_same_starting_weights,spanish,step_zero,pair-04,1.2643842556393983
same_language_same_starting_weights,spanish,step_zero,pair-05,1.1105128538233968
same_language_same_starting_weights,spanish,step_zero,pair-06,1.3358807963247952
same_language_same_starting_weights,spanish,step_zero,pair-07,1.3300484963989425
same_language_same_starting_weights,spanish,step_zero,pair-08,1.2236956246357837
same_language_same_starting_weights,spanish,step_zero,pair-09,1.1726794213535392
same_language_same_starting_weights,spanish,step_zero,pair-10,1.1602073569847167
same_language_same_starting_weights,spanish,step_zero,pair-11,1.0381810660017023
same_language_different_starting_weights,spanish,step_zero,pair-00,0.32269761258689167
same_language_different_starting_weights,spanish,step_zero,pair-01,0.1856344475853524
same_language_different_starting_weights,spanish,step_zero,pair-02,0.4893765759987212
same_language_different_starting_weights,spanish,step_zero,pair-03,0.6660687060322963
same_language_different_starting_weights,spanish,step_zero,pair-04,0.05561299697064026
same_language_different_starting_weights,spanish,step_zero,pair-05,0.9002213333651556
same_language_different_starting_weights,spanish,step_zero,pair-06,0.3681287605221091
same_language_different_starting_weights,spanish,step_zero,pair-07,0.3141225109012842
same_language_different_starting_weights,spanish,step_zero,pair-08,0.02740984577931682
same_language_different_starting_weights,spanish,step_zero,pair-09,0.11346155528872948
same_language_different_starting_weights,spanish,step_zero,pair-10,0.3667662038692403
same_language_different_starting_weights,spanish,step_zero,pair-11,0.6340616501911327
other_language_different_starting_weights,spanish,step_zero,pair-00,1.1579285549963787
other_language_different_starting_weights,spanish,step_zero,pair-01,1.2363232319550261
other_language_different_starting_weights,spanish,step_zero,pair-02,1.5655565255820516
other_language_different_starting_weights,spanish,step_zero,pair-03,0.7454514920690936
other_language_different_starting_weights,spanish,step_zero,pair-04,1.1649490777299634
other_language_different_starting_weights,spanish,step_zero,pair-05,1.598064126204744
other_language_different_starting_weights,spanish,step_zero,pair-06,1.1981405609158184
other_language_different_starting_weights,spanish,step_zero,pair-07,1.11072507300489
other_language_different_starting_weights,spanish,step_zero,pair-08,1.2355368671872111
other_language_different_starting_weights,spanish,step_zero,pair-09,1.106580469430055
other_language_different_starting_weights,spanish,step_zero,pair-10,1.0214959125993706
other_language_different_starting_weights,spanish,step_zero,pair-11,1.1670955151890643
same_language_same_starting_weights,spanish,learning_curve_auc,pair-00,5.516338051843857
same_language_same_starting_weights,spanish,learning_curve_auc,pair-01,5.768434755506318
same_language_same_starting_weights,spanish,learning_curve_auc,pair-02,5.168150076795055
same_language_same_starting_weights,spanish,learning_curve_auc,pair-03,5.586981397905113
same_language_same_starting_weights,spanish,learning_curve_auc,pair-04,5.2955659398210235
same_language_same_starting_weights,spanish,learning_curve_auc,pair-05,5.027013834525754
same_language_same_starting_weights,spanish,learning_curve_auc,pair-06,5.753341390083513
same_language_same_starting_weights,spanish,learning_curve_auc,pair-07,5.814651232287047
same_language_same_starting_weights,spanish,learning_curve_auc,pair-08,5.67609547914691
same_language_same_starting_weights,spanish,learning_curve_auc,pair-09,5.364334592147845
same_language_same_starting_weights,spanish,learning_curve_auc,pair-10,5.174574443127575
same_language_same_starting_weights,spanish,learning_curve_auc,pair-11,4.887280969181394
same_language_different_starting_weights,spanish,learning_curve_auc,pair-00,1.0570347797569921
same_language_different_starting_weights,spanish,learning_curve_auc,pair-01,1.016250220748546
same_language_different_starting_weights,spanish,learning_curve_auc,pair-02,1.4937283274446784
same_language_different_starting_weights,spanish,learning_curve_auc,pair-03,2.182533560338369
same_language_different_starting_weights,spanish,learning_curve_auc,pair-04,0.6113753242935092
same_language_different_starting_weights,spanish,learning_curve_auc,pair-05,2.058429790275273
same_language_different_starting_weights,spanish,learning_curve_auc,pair-06,1.2801920631429216
same_language_different_starting_weights,spanish,learning_curve_auc,pair-07,0.9388956919741434
same_language_different_starting_weights,spanish,learning_curve_auc,pair-08,0.3997912012392435
same_language_different_starting_weights,spanish,learning_curve_auc,pair-09,0.6224516985173878
same_language_different_starting_weights,spanish,learning_curve_auc,pair-10,0.9426626809502707
same_language_different_starting_weights,spanish,learning_curve_auc,pair-11,1.9125782807949419
other_language_different_starting_weights,spanish,learning_curve_auc,pair-00,2.3018690655168195
other_language_different_starting_weights,spanish,learning_curve_auc,pair-01,2.494370664422428
other_language_different_starting_weights,spanish,learning_curve_auc,pair-02,3.2986040063545694
other_language_different_starting_weights,spanish,learning_curve_auc,pair-03,1.3181151001898694
other_language_different_starting_weights,spanish,learning_curve_auc,pair-04,2.1353741878591164
other_language_different_starting_weights,spanish,learning_curve_auc,pair-05,3.294417906198902
other_language_different_starting_weights,spanish,learning_curve_auc,pair-06,2.3326088763295303
other_language_different_starting_weights,spanish,learning_curve_auc,pair-07,2.0734785268411455
other_language_different_starting_weights,spanish,learning_curve_auc,pair-08,2.3536489542627885
other_language_different_starting_weights,spanish,learning_curve_auc,pair-09,2.0097357104850957
other_language_different_starting_weights,spanish,learning_curve_auc,pair-10,1.6338356262015772
other_language_different_starting_weights,spanish,learning_curve_auc,pair-11,2.490976861601019
same_language_same_starting_weights,german,step_zero,pair-00,1.3382904793501673
same_language_same_starting_weights,german,step_zero,pair-01,1.1928823997742375
same_language_same_starting_weights,german,step_zero,pair-02,1.2033483968717689
same_language_same_starting_weights,german,step_zero,pair-03,1.3665409373592472
same_language_same_starting_weights,german,step_zero,pair-04,1.2357233274795179
same_language_same_starting_weights,german,step_zero,pair-05,1.268889033209775
same_language_same_starting_weights,german,step_zero,pair-06,1.2443780580816732
same_language_same_starting_weights,german,step_zero,pair-07,1.2727426665235677
same_language_same_starting_weights,german,step_zero,pair-08,1.3671767869341123
same_language_same_starting_weights,german,step_zero,pair-09,1.3734945731192847
same_language_same_starting_weights,german,step_zero,pair-10,1.2449725658495883
same_language_same_starting_weights,german,step_zero,pair-11,1.3184697654094122
same_language_different_starting_weights,german,step_zero,pair-00,0.029695647668342207
same_language_different_starting_weights,german,step_zero,pair-01,-0.35133618969406716
same_language_different_starting_weights,german,step_zero,pair-02,0.02887419710268324
same_language_different_starting_weights,german,step_zero,pair-03,-0.2323996677983312
same_language_different_starting_weights,german,step_zero,pair-04,0.19842459700354098
same_language_different_starting_weights,german,step_zero,pair-05,0.24188495112909092
same_language_different_starting_weights,german,step_zero,pair-06,0.0031975132053863042
same_language_different_starting_weights,german,step_zero,pair-07,0.12547549366827704
same_language_different_starting_weights,german,step_zero,pair-08,-0.1030560521638591
same_language_different_starting_weights,german,step_zero,pair-09,0.2858453759186561
same_language_different_starting_weights,german,step_zero,pair-10,0.21513471401157536
same_language_different_starting_weights,german,step_zero,pair-11,0.24660648809225283
other_language_different_starting_weights,german,step_zero,pair-00,0.5415367439262263
other_language_different_starting_weights,german,step_zero,pair-01,0.29095524648469584
other_language_different_starting_weights,german,step_zero,pair-02,0.512662532922833
other_language_different_starting_weights,german,step_zero,pair-03,0.43712380579335164
other_language_different_starting_weights,german,step_zero,pair-04,0.4727223055655245
other_language_different_starting_weights,german,step_zero,pair-05,0.6714829874334242
other_language_different_starting_weights,german,step_zero,pair-06,0.6122215271290432
other_language_different_starting_weights,german,step_zero,pair-07,0.47433690796685
