study,claim_id,component_id,language,outcome,map_number,n,estimate,ci_low,ci_high,p_value,analysis_unit,outcome_scale
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,12,1.25321307331878,1.18228582072184,1.32414032591573,1.96752095198803e-13,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,12,5.48789934532902,5.30515196744341,5.67064672321463,5.8962877127412e-16,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,german_same_language_other_run_benefit,german,step_zero,,12,1.25668254674262,1.20069897587501,1.31266611761023,1.43383625833299e-14,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,german_same_language_other_run_benefit,german,learning_curve_auc,,12,5.0714071697711,4.79856808125329,5.34424625828891,1.13068976410403e-13,base_seed,raw
cross_run_transfer,same_language_over_other_language,spanish_same_language_over_other_language,spanish,step_zero,,12,0.798859719539467,0.710317332751523,0.88740210632741,2.88433355722737e-10,base_seed,raw
cross_run_transfer,same_language_over_other_language,spanish_same_language_over_other_language,spanish,learning_curve_auc,,12,4.28581510465946,4.02172825264638,4.54990195667253,4.97904870037699e-13,base_seed,raw
cross_run_transfer,same_language_over_other_language,german_same_language_over_other_language,german,step_zero,,12,0.957489735422052,0.866221718858732,1.04875775198537,5.69149369468545e-11,base_seed,raw
cross_run_transfer,same_language_over_other_language,german_same_language_over_other_language,german,learning_curve_auc,,12,4.33306066048904,3.97152487126125,4.69459644971683,1.34761453065247e-11,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,step_zero,1,12,0.551907503067643,0.480720103305492,0.623094902829794,1.45665949458779e-09,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_1,spanish,learning_curve_auc,1,12,3.86174609126869,3.53664022695001,4.18685195558736,1.48482924855423e-11,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,12,0.786025042231184,0.704542312787303,0.867507771675064,1.40600332860513e-10,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,12,4.15172959941633,3.86876359903417,4.4346955997985,1.49502713501401e-12,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,12,0.703230214625812,0.638733100706127,0.767727328545498,3.75299152042909e-11,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,learning_curve_auc,3,12,3.91792059209162,3.6041203433834,4.23172084079984,8.64797826422542e-12,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,german_correct_assignment_advantage__map_1,german,step_zero,1,12,0.491975452671539,0.42879772617775,0.555153179165327,1.38990338450152e-09,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,german_correct_assignment_advantage__map_1,german,learning_curve_auc,1,12,3.50749464666171,3.22199168935808,3.79299760396534,1.03050599034338e-11,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,german_correct_assignment_advantage__map_2,german,step_zero,2,12,0.511671384022692,0.441797385822296,0.581545382223089,2.66890980946317e-09,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,german_correct_assignment_advantage__map_2,german,learning_curve_auc,2,12,3.36870092792693,3.12437493954761,3.61302691630626,2.94188455869639e-12,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,german_correct_assignment_advantage__map_3,german,step_zero,3,12,0.478226972785637,0.419015355375888,0.537438590195386,9.42475900237466e-10,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,german_correct_assignment_advantage__map_3,german,learning_curve_auc,3,12,3.53472762687103,3.32819772646457,3.74125752727748,2.78675136258775e-13,base_seed,raw
