study,claim_id,component_id,language,outcome,map_number,seed,estimate,analysis_unit,outcome_scale
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,90,1.02629097078684,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,91,1.2441731586522,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,92,1.23265026112266,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,93,1.34165197815375,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,94,1.1537193778649,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,95,1.28610141874636,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,96,1.28327540606855,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,97,1.20915297223566,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,98,1.37142778087416,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,99,1.39101526177223,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,100,1.37292078817641,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,step_zero,,101,1.12617750537169,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,90,5.06404569600025,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,91,5.77626702741079,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,92,5.19918316648679,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,93,5.58094460660002,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,94,5.24479204888927,base_seed,raw
cross_run_transfer,same_language_cross_run_effect,spanish_same_language_other_run_benefit,spanish,learning_curve_auc,,95,5.50083018537897,base_seed,raw
