language,estimand,english_updates,n,maps_averaged_within_seed,estimate,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high
spanish,trained_row_effect,0,12,1,0.287400759809549,0.275613562842652,0.299187956776445,0.268674925704644,0.306126593914454
spanish,trained_row_effect,50,12,1,0.211958932154795,0.204533297103932,0.219384567205658,0.200162131738501,0.223755732571089
spanish,trained_row_effect,100,12,1,0.223844847768761,0.217488674993639,0.230201020543883,0.21374705800048,0.233942637537043
spanish,trained_row_effect,200,12,1,0.214065328380114,0.206426054642958,0.221704602117269,0.201929128986341,0.226201527773886
spanish,trained_row_effect,400,12,1,0.140441620185142,0.134137570608792,0.146745669761492,0.130426636394904,0.150456603975381
spanish,trained_row_effect,800,12,1,0.0923738181917223,0.0821158464979011,0.102631789885543,0.076077401263188,0.108670235120257
spanish,trained_row_effect,1500,12,1,0.0563402141185359,0.0466175269328706,0.0660629013042011,0.0408941816305775,0.0717862466064943
spanish,trained_row_effect,3000,12,1,0.0350194672262773,0.0244760752373598,0.0455628592151949,0.018269614836271,0.0517693196162839
spanish,trained_row_effect,6000,12,1,0.0288018100019277,0.0245000241649801,0.0331035958388755,0.021967740106961,0.0356358798968944
spanish,trained_row_effect,6100,12,1,0.0290760403912398,0.0233072483195117,0.0348448324629681,0.0199113981421749,0.038240682640305
spanish,correct_assignment_advantage,0,12,3,0.231988335833196,0.220640373813193,0.243336297853199,0.213960296188815,0.250016375477577
spanish,correct_assignment_advantage,50,12,3,0.189982917227024,0.180125965589016,0.199839868865032,0.174323584336279,0.205642250117769
spanish,correct_assignment_advantage,100,12,3,0.233673531023493,0.228935082878203,0.238411979168784,0.226145753712857,0.241201308334129
spanish,correct_assignment_advantage,200,12,3,0.205317885972677,0.197034160143602,0.213601611801752,0.192157872096485,0.218477899848869
spanish,correct_assignment_advantage,400,12,3,0.167738468045103,0.158098634775066,0.17737830131514,0.152424062158733,0.183052873931473
spanish,correct_assignment_advantage,800,12,3,0.110497142090306,0.0989040197703841,0.122090264410228,0.0920796263797935,0.128914657800819
spanish,correct_assignment_advantage,1500,12,3,0.0755210560130585,0.0667974632647806,0.0842446487613364,0.061662243687976,0.0893798683381411
spanish,correct_assignment_advantage,3000,12,3,0.0435110597211796,0.0325546350765767,0.0544674843657826,0.0261050393709706,0.0609170800713886
spanish,correct_assignment_advantage,6000,12,3,0.0318357136539395,0.0288786527748325,0.0347927745330465,0.0271379528872556,0.0365334744206233
spanish,correct_assignment_advantage,6100,12,3,0.0323605936600133,0.0288991304478949,0.0358220568721318,0.0268615096918401,0.0378596776281866
spanish,remaining_effect_after_reassignment,0,12,3,0.0554124239763523,0.0476225802797028,0.0632022676730019,0.0430370202924856,0.0677878276602191
spanish,remaining_effect_after_reassignment,50,12,3,0.0219760149277711,0.0152485801777262,0.0287034496778159,0.0112884165585654,0.0326636132969767
spanish,remaining_effect_after_reassignment,100,12,3,-0.0098286832547317,-0.0125014709022772,-0.0071558956071862,-0.014074830852514,-0.0055825356569493
