language,claim_id,contrast_id,contrast,kind,outcome,estimate,ci_confidence,ci_low,ci_high,n
spanish,correct_assignment_advantage,correct_assignment_advantage__map_1,"Correct-assignment advantage, reassignment 1",directional,step_zero,0.21822130344939,0.95,0.206913380927938,0.229529225970843,12
spanish,correct_assignment_advantage,correct_assignment_advantage__map_2,"Correct-assignment advantage, reassignment 2",directional,step_zero,0.246167902541463,0.95,0.233427703022074,0.258908102060851,12
spanish,correct_assignment_advantage,correct_assignment_advantage__map_3,"Correct-assignment advantage, reassignment 3",directional,step_zero,0.231575801508736,0.95,0.220539100292412,0.242612502725059,12
spanish,correct_assignment_advantage,correct_assignment_advantage__map_1,"Correct-assignment advantage, reassignment 1",directional,learning_curve_auc,0.237972407043049,0.95,0.227904546368155,0.248040267717943,12
spanish,correct_assignment_advantage,correct_assignment_advantage__map_2,"Correct-assignment advantage, reassignment 2",directional,learning_curve_auc,0.246142695001418,0.95,0.236951660027922,0.255333729974913,12
spanish,correct_assignment_advantage,correct_assignment_advantage__map_3,"Correct-assignment advantage, reassignment 3",directional,learning_curve_auc,0.238605507841477,0.95,0.228621634930848,0.248589380752105,12
german,correct_assignment_advantage,correct_assignment_advantage__map_1,"Correct-assignment advantage, reassignment 1",directional,step_zero,0.147784699563725,0.95,0.138673086514671,0.156896312612778,12
german,correct_assignment_advantage,correct_assignment_advantage__map_2,"Correct-assignment advantage, reassignment 2",directional,step_zero,0.151213512344187,0.95,0.140804124311107,0.161622900377266,12
german,correct_assignment_advantage,correct_assignment_advantage__map_3,"Correct-assignment advantage, reassignment 3",directional,step_zero,0.145905691587187,0.95,0.136764646602218,0.155046736572157,12
german,correct_assignment_advantage,correct_assignment_advantage__map_1,"Correct-assignment advantage, reassignment 1",directional,learning_curve_auc,0.193289883168747,0.95,0.183512545938516,0.203067220398978,12
german,correct_assignment_advantage,correct_assignment_advantage__map_2,"Correct-assignment advantage, reassignment 2",directional,learning_curve_auc,0.190305448538312,0.95,0.18200915240272,0.198601744673905,12
german,correct_assignment_advantage,correct_assignment_advantage__map_3,"Correct-assignment advantage, reassignment 3",directional,learning_curve_auc,0.19376688602394,0.95,0.186737609787005,0.200796162260874,12
spanish,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_1,"Spelling effect remaining after reassignment, reassignment 1",equivalence,step_zero,0.0691794563601583,0.9,0.0615528025477539,0.0768061101725626,12
spanish,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_2,"Spelling effect remaining after reassignment, reassignment 2",equivalence,step_zero,0.041232857268086,0.9,0.035939703304575,0.0465260112315969,12
spanish,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_3,"Spelling effect remaining after reassignment, reassignment 3",equivalence,step_zero,0.055824958300813,0.9,0.0486068450275475,0.0630430715740784,12
spanish,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_1,"Spelling effect remaining after reassignment, reassignment 1",equivalence,learning_curve_auc,0.0359541557804368,0.9,0.0284982648301667,0.0434100467307066,12
spanish,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_2,"Spelling effect remaining after reassignment, reassignment 2",equivalence,learning_curve_auc,0.0277838678220678,0.9,0.0232913857166513,0.0322763499274843,12
spanish,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_3,"Spelling effect remaining after reassignment, reassignment 3",equivalence,learning_curve_auc,0.035321054982009,0.9,0.0296164290193101,0.041025680944708,12
german,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_1,"Spelling effect remaining after reassignment, reassignment 1",equivalence,step_zero,0.0903807080805756,0.9,0.0854267535073666,0.0953346626537846,12
german,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_2,"Spelling effect remaining after reassignment, reassignment 2",equivalence,step_zero,0.0869518953001135,0.9,0.0820215992749133,0.0918821913253135,12
german,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_3,"Spelling effect remaining after reassignment, reassignment 3",equivalence,step_zero,0.0922597160571128,0.9,0.0883774264785163,0.0961420056357091,12
german,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_1,"Spelling effect remaining after reassignment, reassignment 1",equivalence,learning_curve_auc,0.0410929575732408,0.9,0.036129054937474,0.0460568602090074,12
german,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_2,"Spelling effect remaining after reassignment, reassignment 2",equivalence,learning_curve_auc,0.0440773922036752,0.9,0.0383214011645387,0.0498333832428118,12
german,remaining_effect_after_reassignment,remaining_effect_after_reassignment__map_3,"Spelling effect remaining after reassignment, reassignment 3",equivalence,learning_curve_auc,0.0406159547180482,0.9,0.0344819073280965,0.0467500021079999,12
