receiving_body_language,english_updates,n,english_rows_minus_source_rows_nll,standard_error,simultaneous95_low,simultaneous95_high,english_better_seed_count,matched_better_seed_count,perplexity_ratio_english_over_matched
spanish,0,12,1.45560242468491,0.0825717644328581,1.23984661318524,1.67135823618458,0,12,4.28706532181277
spanish,50,12,-0.36606773128733,0.0064695677669053,-0.382972382086403,-0.349163080488257,12,0,0.693455830962958
spanish,100,12,-0.477473586952935,0.0038104885490942,-0.48743019929817,-0.467516974607699,12,0,0.620348670678423
spanish,200,12,-0.394986708803723,0.0025189912957698,-0.401568704658025,-0.388404712949422,12,0,0.673688993322002
spanish,400,12,-0.228684803315749,0.0018584542293126,-0.233540849485216,-0.223828757146281,12,0,0.795579257933424
spanish,800,12,-0.131476446753368,0.0008591904766912,-0.133721467673104,-0.129231425833631,12,0,0.876799926379507
spanish,1500,12,-0.0795091789526243,0.0009851785296311,-0.0820834002326534,-0.0769349576725952,12,0,0.923569542528623
spanish,3000,12,-0.0473054886485139,0.0006705143460549,-0.0490575084563614,-0.0455534688406663,12,0,0.953795979235483
spanish,6000,12,-0.0342737752168128,0.0004758599932654,-0.0355171731230147,-0.0330303773106108,12,0,0.966306917534608
spanish,6100,12,-0.0341363820092131,0.0004620568030603,-0.0353437128830048,-0.0329290511354213,12,0,0.966439690662388
german,0,12,1.02161120778571,0.0598871606607125,0.865129109631322,1.17809330594009,0,12,2.77766655848696
german,50,12,-0.350326862186193,0.0052668560833318,-0.36408888866239,-0.336564835709997,12,0,0.704457791469069
german,100,12,-0.436502496556689,0.0051018227475602,-0.449833299338825,-0.423171693774554,12,0,0.64629288437738
german,200,12,-0.36587617561842,0.004756026385427,-0.378303430132716,-0.353448921104124,12,0,0.693588679082017
german,400,12,-0.226552383818974,0.0024093837156073,-0.232847980653382,-0.220256786984566,12,0,0.797277576774823
german,800,12,-0.132794827300434,0.0010103367168111,-0.135434785641167,-0.130154868959702,12,0,0.875644732073073
german,1500,12,-0.0846941953059285,0.0008569283332068,-0.0869333053600495,-0.0824550852518075,12,0,0.918793212722
german,3000,12,-0.0520827619669338,0.0005794253845419,-0.0535967709614613,-0.0505687529724061,12,0,0.949250301769748
german,6000,12,-0.0384512903013577,0.000479425759692,-0.039704005373473,-0.0371985752292424,12,0,0.96227857589771
german,6100,12,-0.0382323355103532,0.0005034017645761,-0.0395476986610926,-0.0369169723596138,12,0,0.962489294470263
