receiving_body_language,installed_rows,n,installation_english_nll,installation_english_nll_ci95_low,installation_english_nll_ci95_high,weighted_english_nll,weighted_english_nll_ci95_low,weighted_english_nll_ci95_high,final_english_nll,final_english_nll_ci95_low,final_english_nll_ci95_high,final_english_perplexity,final_english_perplexity_ci95_low,final_english_perplexity_ci95_high,source_language_nll_before_continuation,source_language_nll_after_continuation,source_language_nll_increase,source_language_nll_increase_ci95_low,source_language_nll_increase_ci95_high
spanish,initial,12,9.84125850287576,9.81654536505515,9.86597164069638,6.82485342690665,6.815719565995,6.8339872878183,3.78332980279811,3.77836503679117,3.78829456880505,43.9621836908628,43.7444626499103,44.1809883535768,3.74262365617498,6.87722196143341,3.13459830525843,2.90687896132123,3.36231764919564
spanish,spanish_trained,12,7.18236850202084,7.14999775151062,7.21473925253106,5.57433569676498,5.55998852236608,5.58868287116387,3.76856420414212,3.76299572401748,3.77413268426676,43.3178246112664,43.0772805199367,43.5597119039118,3.74262365617498,5.73811551123047,1.99549185505549,1.96748654145887,2.02349716865211
spanish,german_trained,12,10.2404919896896,9.9789062784067,10.5020777009724,6.5633870532112,6.49790957978207,6.62886452664034,3.79066031294254,3.78495770367385,3.79636292221123,44.2856330001867,44.0338080510547,44.5388981110448,3.74262365617498,11.2749836331736,7.53235997699865,6.75736358164861,8.30735637234868
spanish,english_trained,12,8.63797092670575,8.46202191561693,8.81391993779456,5.69761719623972,5.65860188642068,5.73663250605876,3.73442782213291,3.72883513080694,3.74002051345887,41.8640650174799,41.6305857215709,42.0988537492441,3.74262365617498,8.47930168998464,4.73667803380966,4.39562787436539,5.07772819325393
german,initial,12,9.82454120150457,9.80357865404744,9.84550374896169,6.81048580052574,6.80338789376441,6.81758370728708,3.77232368957872,3.76964571475417,3.77500166440328,43.4809838472529,43.3646986410857,43.5975808796196,3.87371262443924,6.90836726370239,3.03465463926315,2.88302425382932,3.18628502469699
german,spanish_trained,12,9.85462294922521,9.67305762836961,10.0361882700808,6.46760901276451,6.42215934414601,6.513058681383,3.77929978631437,3.77639753231968,3.78220204030906,43.7853718824791,43.6584798375647,43.9126327352659,3.87371262443924,11.4636766020152,7.58996397757594,6.86902933020994,8.31089862494194
german,german_trained,12,7.28482926217839,7.26059866450744,7.30905985984935,5.58324277118778,5.57324049447162,5.59324504790395,3.75789807853289,3.75532615483981,3.76047000222597,42.8582465684405,42.7481600563847,42.968616579017,3.87371262443924,6.34693465026601,2.47322202582677,2.43298360831052,2.51346044334302
german,english_trained,12,8.3064404699641,8.16712882860584,8.44575211132235,5.61745488797155,5.58462440210941,5.65028537383369,3.71966574302254,3.71689410139251,3.72243738465257,41.2506035018908,41.1364299091926,41.3650939818178,3.87371262443924,9.13810119192251,5.26438856748327,4.79172186890178,5.73705526606476
english,initial,12,9.59495934316268,9.5774959037487,9.61242278257665,6.53108242221195,6.52411291434657,6.53805193007734,3.69119217828847,3.68921397902374,3.69317037755321,40.0926160233584,40.0133832347802,40.1720057053127,3.90429819682312,4.41720390170797,0.512905704884847,0.462736467075731,0.563074942693963
english,spanish_trained,12,9.95740720567604,9.51419249946477,10.4006219118873,6.26189208485928,6.16343010006326,6.36035406965529,3.70703693044682,3.70459179915008,3.70948206174357,40.7329330234747,40.6334573192706,40.832652256445,3.90429819682312,7.53042134843699,3.62612315161387,3.33631713030868,3.91592917291906
english,german_trained,12,10.4741188843424,10.107212229502,10.8410255391828,6.37146474819288,6.2841314916787,6.45879800470707,3.7048049257913,3.70231177258548,3.70729807899712,40.6421183144618,40.5409174938904,40.7435717589677,3.90429819682312,7.13892012893168,3.23462193210856,2.89670970225517,3.57253416196196
english,english_trained,12,3.92455753924636,3.92239123130985,3.92672384718286,3.92462471149565,3.92239200093085,3.92685742206045,3.65756110016567,3.65542452193452,3.65969767839682,38.7666794328873,38.6839398108298,38.8495960236064,3.90429819682312,4.46703159107208,0.562733394248962,0.544424210451511,0.581042578046413
