language,english_updates,n,initial_minus_source_spelling_slope,standard_error,simultaneous95_low,simultaneous95_high,positive_seed_count
spanish,0,12,0.0097380077906839,0.0179582611178907,-0.0375218157977474,0.0569978313791153,6
spanish,50,12,0.0831472497734916,0.0065177097724013,0.0659949312933122,0.100299568253671,12
spanish,100,12,0.0943266854467127,0.0070070651279152,0.0758865558793788,0.112766815014047,12
spanish,200,12,0.126494711178599,0.0063326769030377,0.109829334095851,0.143160088261347,12
spanish,400,12,0.0898595164474069,0.0049634421541751,0.0767974833776227,0.102921549517191,12
spanish,800,12,0.0569369760350723,0.0045036784370554,0.045084879273754,0.0687890727963905,12
spanish,1500,12,0.0215453489026464,0.0051629540201568,0.0079582708116212,0.0351324269936715,11
spanish,3000,12,0.0214169376853845,0.0046506942814165,0.0091779469579072,0.0336559284128616,10
spanish,6000,12,0.0136069408453223,0.0038301896205025,0.0035272296423898,0.0236866520482548,10
spanish,6100,12,0.0138247238383154,0.0035580886921974,0.0044610865239137,0.023188361152717,9
german,0,12,-0.0073987724688154,0.0108249611348727,-0.0358862607744648,0.0210887158368339,6
german,50,12,0.0613026715697697,0.0034104087228136,0.052327675964875,0.0702776671746644,12
german,100,12,0.0568856887663967,0.0028225869362187,0.0494576332440379,0.0643137442887554,12
german,200,12,0.0823301657120539,0.0054000863543774,0.0681190387663647,0.0965412926577431,12
german,400,12,0.0720367858402817,0.0057464456831446,0.056914163028245,0.0871594086523184,12
german,800,12,0.0380288595716292,0.0046886995166958,0.0256898524392817,0.0503678667039767,12
german,1500,12,0.0166120004512732,0.0032190622270893,0.0081405614865694,0.0250834394159769,12
german,3000,12,0.0154567190994848,0.0045366649280369,0.0035178135021463,0.0273956246968233,11
german,6000,12,0.0092447975605368,0.0023755375607824,0.0029932186736238,0.0154963764474498,10
german,6100,12,0.0088431758249639,0.0028757289070224,0.001275269336588,0.0164110823133399,9
