specification,receiving_body_language,row_language,reference_rows,outcome,units,n,estimate,ci95_low,ci95_high
per_target_piece,spanish,spanish,initial,step_zero,standardized_slope_difference,12,0.210132750177237,0.154828407904483,0.265437092449991
per_target_piece,spanish,spanish,english_trained,step_zero,standardized_slope_difference,12,0.264178159968694,0.184280816361714,0.344075503575674
per_target_piece,spanish,german,initial,step_zero,standardized_slope_difference,12,0.0621593485504262,0.0137107989955849,0.110607898105268
per_target_piece,spanish,german,english_trained,step_zero,standardized_slope_difference,12,0.104942259191534,0.0527106386838409,0.157173879699228
per_target_piece,spanish,spanish,initial,learning_curve_auc,standardized_slope_difference,12,0.319570723828192,0.303041641363902,0.336099806292483
per_target_piece,spanish,spanish,english_trained,learning_curve_auc,standardized_slope_difference,12,0.283393516553154,0.255552355428549,0.311234677677758
per_target_piece,spanish,german,initial,learning_curve_auc,standardized_slope_difference,12,0.0624967571860645,0.0385380951815878,0.0864554191905411
per_target_piece,spanish,german,english_trained,learning_curve_auc,standardized_slope_difference,12,0.0992734675645634,0.0791917693380814,0.119355165791045
per_target_piece,german,spanish,initial,step_zero,standardized_slope_difference,12,0.137988638015568,0.0662585581508784,0.209718717880258
per_target_piece,german,spanish,english_trained,step_zero,standardized_slope_difference,12,0.181504974289102,0.0786329253881752,0.284377023190029
per_target_piece,german,german,initial,step_zero,standardized_slope_difference,12,0.267873693754582,0.228187497853294,0.30755988965587
per_target_piece,german,german,english_trained,step_zero,standardized_slope_difference,12,0.272274159036075,0.216558839070388,0.327989479001763
per_target_piece,german,spanish,initial,learning_curve_auc,standardized_slope_difference,12,0.108076228930929,0.0790843736512511,0.137068084210607
per_target_piece,german,spanish,english_trained,learning_curve_auc,standardized_slope_difference,12,0.118349918108363,0.0743096930620274,0.162390143154698
per_target_piece,german,german,initial,learning_curve_auc,standardized_slope_difference,12,0.286487880712852,0.270669273657354,0.30230648776835
per_target_piece,german,german,english_trained,learning_curve_auc,standardized_slope_difference,12,0.295811955594995,0.269109175912319,0.322514735277671
per_target_piece,english,spanish,initial,step_zero,standardized_slope_difference,12,0.0741246473900107,-0.0313240912517132,0.179573386031735
per_target_piece,english,spanish,english_trained,step_zero,standardized_slope_difference,12,0.173633049014367,0.0849677537422734,0.262298344286461
per_target_piece,english,german,initial,step_zero,standardized_slope_difference,12,-0.0489841901530022,-0.129483272639108,0.0315148923331034
per_target_piece,english,german,english_trained,step_zero,standardized_slope_difference,12,0.125378224019132,0.046435182070994,0.204321265967269
per_target_piece,english,spanish,initial,learning_curve_auc,standardized_slope_difference,12,0.0793742518391159,0.0397630330353608,0.118985470642871
per_target_piece,english,spanish,english_trained,learning_curve_auc,standardized_slope_difference,12,0.171375953298543,0.131304217197043,0.211447689400043
per_target_piece,english,german,initial,learning_curve_auc,standardized_slope_difference,12,0.0448557813483991,0.0090125107272038,0.0806990519695944
per_target_piece,english,german,english_trained,learning_curve_auc,standardized_slope_difference,12,0.199226004907913,0.149332335546653,0.249119674269174
raw_scale,spanish,spanish,initial,step_zero,nats_per_unit_similarity,12,1.37273364271281,1.28709612001108,1.45837116541453
raw_scale,spanish,spanish,english_trained,step_zero,nats_per_unit_similarity,12,1.46585242980077,1.30472420895298,1.62698065064857
